28,10,28,11
26,25,26,26
27,16,26,16
27,15,26,15
26,3,26,4
25,3,24,3
18,0,18,1
28,4,27,4
21,2,21,3
24,16,24,17
24,23,23,23
25,23,25,24
14,22,13,22
21,5,21,6
22,13,22,14
24,13,24,14
17,19,17,20
18,13,18,14
21,10,21,11
25,13,25,14
28,15,28,16
23,14,23,15
25,23,25,24
17,20,16,20
12,20,12,21
12,19,12,20
5,23,5,24
25,6,25,7
19,10,18,10
20,6,19,6
17,3,17,4
19,4,19,5
3,3,3,4
8,3,8,4
7,11,7,12
27,11,27,12
24,11,24,12
20,10,20,11
15,9,15,10
23,8,23,9
19,14,18,14
3,11,3,12
16,14,16,15
25,7,25,8
27,10,26,10
14,8,13,8
18,7,18,8
23,5,23,6
8,10,7,10
24,4,24,5
14,9,13,9
19,7,18,7
9,3,9,4
4,2,3,2
25,5,25,6
2,7,2,8
22,8,21,8
9,5,8,5
21,7,21,8
19,10,19,11
29,11,28,11
24,9,23,9
15,10,15,11
15,11,15,12
15,12,14,12
14,3,14,4
20,7,20,8
11,6,11,7
26,8,26,9
2,4,2,5
1,4,1,5
6,11,6,12
23,19,23,20
28,19,28,20
29,19,29,20
8,20,8,21
12,19,12,20
4,19,4,20
4,18,3,18
9,17,9,18
15,27,15,28
18,2,17,2
14,29,13,29
11,25,11,26
18,27,17,27
16,27,15,27
4,27,4,28
4,27,4,28
16,25,15,25
14,26,13,26
21,25,20,25
17,21,17,22
18,24,18,25
3,19,3,20
17,22,17,23
3,24,3,25
27,26,26,26
27,22,26,22
26,21,26,22
27,19,26,19
